"Date","Activity","Quantity","Symbol","Description","Price","Comm.","Fees","Amount",
"12/18/15","Bought ","100","ETP","ENERGY TRANSFER PARTNERS L P","$28.16","4.95","","-$2,820.95",
"12/14/15","Bought ","50","ETP","ENERGY TRANSFER PARTNERS L P","$28.7199","4.95","","-$1,440.95",
"12/07/15","Bought ","100","ETP","ENERGY TRANSFER PARTNERS L P","$30.3475","4.95","","-$3,039.70",
"12/04/15","Bought ","65","ETP","ENERGY TRANSFER PARTNERS L P","$33.47","4.95","","-$2,180.50",
"11/12/15","Bought ","50","ETP","ENERGY TRANSFER PARTNERS L P","$38.4399","4.95","","-$1,926.95",
"11/12/15","Bought ","70","HCP","HCP INC","$33.0199","4.95","","-$2,316.34",
"11/06/15","Bought ","60","HCP","HCP INC","$34.4399","4.95","","-$2,071.34",
"11/06/15","Bought ","50","ETP","ENERGY TRANSFER PARTNERS L P","$42.0399","4.95","","-$2,106.95",
"11/03/15","Bought ","35","HCP","HCP INC","$37.17","4.95","","-$1,305.90",
"10/28/15","Sold ","-30","CAB","CABELAS INC","$39.0001","4.95","$0.04","$1,165.01",
"10/23/15","Sold ","-55","ORI","OLD REPUBLIC INTL CORP","$17.58","4.95","$0.03","$961.92",
"10/22/15","Sold ","-20","UPS","UNITED PARCEL SVC INC","$106.3001","4.95","$0.05","$2,121.00",
"10/22/15","Bought ","30","CAB","CABELAS INC","$35.51","4.95","","-$1,070.25",
"10/21/15","Sold ","-100","ORI","OLD REPUBLIC INTL CORP","$16.8910","4.95","$0.05","$1,684.10",
"10/13/15","Bought ","80","ETP","ENERGY TRANSFER PARTNERS L P","$45.9199","4.95","","-$3,678.54",
"06/03/15","Bought ","50","SO","SOUTHERN CO","$42.9999","4.95","","-$2,154.95",
"05/06/15","Bought ","60","SO","SOUTHERN CO","$43.93","4.95","","-$2,640.75",
"02/04/15","Bought ","80","GE","GENERAL ELECTRIC CO","$24.2899","4.95","","-$1,948.14",
"02/02/15","Bought ","20","UPS","UNITED PARCEL SVC INC","$98.4099","4.95","","-$1,973.15",
"01/22/15","Bought ","150","ORI","OLD REPUBLIC INTL CORP","$13.6990","4.95","","-$2,059.80",
