,Date,Activity,Quantity,Symbol,Price,Fees,Amount
10,2014-05-01,Bought ,100,WGL,$39.4990,,"-$3,949.90"
9,2014-05-01,Bought ,100,HCP,$41.9696,,"-$4,196.96"
8,2014-05-02,Bought ,100,JNJ,$99.50,,"-$9,950.00"
7,2014-05-05,Bought ,200,WGL,$38.6498,,"-$7,729.96"
6,2014-05-06,Bought ,95,HCP,$42.1399,,"-$4,003.29"
4,2014-07-25,Bought ,44,COH,$34.6799,,"-$1,530.57"
5,2014-07-25,Bought ,16,CBRL,$97.4699,,"-$1,559.52"
2,2014-10-08,Sold ,-50,JNJ,$102.82,$0.13,"$5,135.92"
3,2014-10-08,Sold ,-303,WGL,$42.9110,$0.33,"$12,996.75"
0,2014-11-07,Bought ,86,T,$34.8999,,"-$3,006.34"
1,2014-11-07,Bought ,45,COH,$33.7199,,"-$1,522.35"
19,2015-01-22,Bought ,150,ORI,$13.6990,,"-$2,059.80"
18,2015-02-02,Bought ,20,UPS,$98.4099,,"-$1,973.15"
17,2015-02-04,Bought ,80,GE,$24.2899,,"-$1,948.14"
16,2015-05-06,Bought ,60,SO,$43.93,,"-$2,640.75"
15,2015-06-03,Bought ,50,SO,$42.9999,,"-$2,154.95"
14,2015-10-13,Bought ,80,ETP,$45.9199,,"-$3,678.54"
13,2015-10-21,Sold ,-100,ORI,$16.8910,$0.05,"$1,684.10"
11,2015-10-22,Sold ,-20,UPS,$106.3001,$0.05,"$2,121.00"
12,2015-10-22,Bought ,30,CAB,$35.51,,"-$1,070.25"
10,2015-10-23,Sold ,-55,ORI,$17.58,$0.03,$961.92
9,2015-10-28,Sold ,-30,CAB,$39.0001,$0.04,"$1,165.01"
8,2015-11-03,Bought ,35,HCP,$37.17,,"-$1,305.90"
7,2015-11-06,Bought ,50,ETP,$42.0399,,"-$2,106.95"
6,2015-11-06,Bought ,60,HCP,$34.4399,,"-$2,071.34"
5,2015-11-12,Bought ,70,HCP,$33.0199,,"-$2,316.34"
4,2015-11-12,Bought ,50,ETP,$38.4399,,"-$1,926.95"
3,2015-12-04,Bought ,65,ETP,$33.47,,"-$2,180.50"
2,2015-12-07,Bought ,100,ETP,$30.3475,,"-$3,039.70"
1,2015-12-14,Bought ,50,ETP,$28.7199,,"-$1,440.95"
0,2015-12-18,Bought ,100,ETP,$28.16,,"-$2,820.95"
9,2016-01-12,Bought ,100,ETP,$24.8767,,"-$2,492.62"
8,2016-01-20,Bought ,100,ETP,$20.4495,,"-$2,049.90"
7,2016-01-26,Bought ,70,QIHU,$70.9999,,"-$4,974.94"
6,2016-02-03,Bought ,70,QIHU,$70.2999,,"-$4,925.94"
5,2016-02-08,Bought ,100,ETP,$20.6687,,"-$2,071.82"
3,2016-02-09,Bought ,100,HCP,$29.1998,,"-$2,924.93"
4,2016-02-09,Bought ,100,HCP,$31.4364,,"-$3,148.59"
2,2016-02-11,Bought ,100,HCP,$25.36,,"-$2,540.95"
1,2016-02-16,Sold ,-17,CBRL,$134.7201,$0.06,"$2,285.23"
0,2016-02-17,Sold ,-150,ETP,$28.7328,$0.12,"$4,304.85"
